Wall time,Step,Value
1585332386.438661,0,100.0
1585332387.148724,1,98.0
1585332387.858707,2,91.0
1585332388.5517802,3,88.0
1585332389.1747916,4,78.0
1585332389.802249,5,80.0
1585332390.4203014,6,77.0
1585332391.0128336,7,71.0
1585332391.5941057,8,68.0
1585332392.1870315,9,58.0
1585332392.7581685,10,58.0
1585332393.3309448,11,57.0
1585332393.9076624,12,57.0
1585332394.47151,13,55.0
1585332395.0467618,14,54.0
1585332395.6429884,15,46.0
1585332396.207918,16,49.0
1585332396.7864938,17,49.0
1585332397.3647525,18,49.0
1585332397.9243994,19,48.0
1585332398.4837718,20,54.0
1585332399.0548635,21,51.0
1585332399.6101456,22,54.0
1585332400.161343,23,56.0
1585332400.7294343,24,53.0
1585332401.297368,25,46.0
1585332401.8641632,26,44.0
1585332402.4465578,27,48.0
1585332403.0091937,28,45.0
1585332403.5683875,29,39.0
1585332404.1395164,30,38.0
1585332404.6993108,31,38.0
1585332405.2577772,32,30.0
1585332405.825565,33,26.0
1585332406.3916147,34,23.0
1585332406.9525335,35,20.0
1585332407.5325036,36,23.0
1585332408.1013532,37,22.0
1585332408.6642466,38,18.0
1585332409.2406404,39,19.0
1585332409.7928507,40,19.0
1585332410.3562186,41,15.0
1585332410.9262495,42,22.0
1585332411.4989703,43,22.0
1585332412.0627997,44,16.0
1585332412.6301308,45,18.0
1585332413.1908998,46,20.0
1585332413.7459247,47,12.0
1585332414.3243365,48,19.0
1585332414.8743355,49,21.0
1585332415.4405923,50,21.0
1585332416.0119004,51,20.0
1585332416.565676,52,14.0
1585332417.1167462,53,13.0
1585332417.6839557,54,10.0
1585332418.241632,55,10.0
1585332418.795531,56,10.0
1585332419.3643498,57,10.0
1585332419.919794,58,9.0
1585332420.4792356,59,9.0
1585332421.038995,60,12.0
1585332421.5959246,61,9.0
1585332422.1436195,62,18.0
1585332422.7033765,63,13.0
1585332423.2643478,64,9.0
1585332423.8140855,65,9.0
1585332424.3831997,66,9.0
1585332424.9360416,67,10.0
1585332425.4994574,68,11.0
1585332426.0622478,69,13.0
1585332426.6234741,70,8.0
1585332427.1802928,71,8.0
1585332427.7511292,72,8.0
1585332428.3112411,73,9.0
1585332428.8665824,74,19.0
1585332429.4357479,75,9.0
1585332429.9967976,76,7.0
1585332430.55985,77,8.0
1585332431.1231318,78,9.0
1585332431.6769943,79,10.0
1585332432.2345994,80,9.0
1585332432.8028553,81,11.0
1585332433.3600895,82,7.0
1585332433.9185433,83,8.0
1585332434.4890854,84,16.0
1585332435.0506303,85,14.0
1585332435.6135955,86,11.0
1585332436.1827834,87,12.0
1585332436.7476082,88,13.0
1585332437.3107522,89,14.0
1585332437.8815317,90,13.0
1585332438.439133,91,12.0
1585332438.9997602,92,12.0
1585332439.5776887,93,10.0
1585332440.1388595,94,8.0
1585332440.6999273,95,10.0
1585332441.279747,96,9.0
1585332441.8471456,97,12.0
1585332442.4068036,98,12.0
1585332442.98062,99,10.0
1585332443.5397234,100,11.0
1585332444.1039402,101,11.0
1585332444.680952,102,11.0
1585332445.2451537,103,10.0
1585332445.8168476,104,11.0
1585332446.3861527,105,11.0
1585332446.949536,106,11.0
1585332447.5090847,107,11.0
1585332448.0786169,108,12.0
1585332448.6436203,109,11.0
1585332449.2025604,110,8.0
1585332449.7713897,111,10.0
1585332450.3369765,112,10.0
1585332450.895952,113,11.0
1585332451.4672031,114,9.0
1585332452.0371478,115,13.0
1585332452.5971458,116,13.0
1585332453.1659124,117,8.0
1585332453.73055,118,11.0
1585332454.2927303,119,9.0
1585332454.8610778,120,10.0
1585332455.4244504,121,7.0
1585332455.9921267,122,9.0
1585332456.5631754,123,11.0
1585332457.121654,124,9.0
1585332457.687038,125,11.0
1585332458.2599223,126,10.0
1585332458.8127925,127,10.0
1585332459.374856,128,10.0
1585332459.9522233,129,8.0
1585332460.5168607,130,10.0
1585332461.096109,131,8.0
1585332461.6731832,132,8.0
1585332462.23361,133,10.0
1585332462.7914755,134,7.0
1585332463.3625493,135,9.0
1585332463.9227364,136,10.0
1585332464.4951925,137,11.0
1585332465.0663826,138,15.0
1585332465.6317492,139,11.0
1585332466.1897483,140,8.0
1585332466.7577655,141,7.0
1585332467.323245,142,9.0
1585332467.8808174,143,6.0
1585332468.4567974,144,8.0
1585332469.0120456,145,8.0
1585332469.5730832,146,9.0
1585332470.1386354,147,8.0
1585332470.69441,148,5.0
1585332471.2634134,149,8.0
1585332471.833625,150,7.0
1585332472.3839276,151,6.0
1585332472.9360964,152,7.0
1585332473.4987357,153,6.0
1585332474.0586164,154,6.0
1585332474.6199586,155,6.0
1585332475.1846955,156,7.0
1585332475.7377284,157,7.0
1585332476.2946887,158,6.0
1585332476.8607793,159,9.0
1585332477.4105146,160,6.0
1585332477.9656596,161,8.0
1585332478.532001,162,7.0
1585332479.0826888,163,6.0
1585332479.6415431,164,7.0
1585332480.2087014,165,9.0
1585332480.7665112,166,7.0
1585332481.3181596,167,8.0
1585332481.8840423,168,9.0
1585332482.4285908,169,6.0
1585332482.9739914,170,8.0
1585332483.5311182,171,7.0
1585332484.0768862,172,10.0
1585332484.6236522,173,8.0
1585332485.18529,174,7.0
1585332485.7340949,175,6.0
1585332486.2966585,176,7.0
1585332486.8578088,177,7.0
1585332487.417325,178,6.0
1585332487.9696546,179,11.0
1585332488.5327735,180,7.0
1585332489.08407,181,8.0
1585332489.642201,182,7.0
1585332490.2055588,183,8.0
1585332490.7621338,184,6.0
1585332491.323781,185,6.0
1585332491.9014888,186,6.0
1585332492.4539697,187,6.0
1585332493.0114493,188,6.0
1585332493.5793142,189,6.0
1585332494.135334,190,8.0
1585332494.6907747,191,7.0
1585332495.2578466,192,7.0
1585332495.8095706,193,10.0
1585332496.3700268,194,6.0
1585332496.9380038,195,6.0
1585332497.4979205,196,7.0
1585332498.0528722,197,6.0
1585332498.6162925,198,7.0
1585332499.1702209,199,6.0
1585332499.7281961,200,6.0
1585332500.3021977,201,6.0
1585332500.8588176,202,6.0
1585332501.4180033,203,9.0
1585332501.9926105,204,6.0
1585332502.549053,205,6.0
1585332503.1050622,206,6.0
1585332503.6668472,207,6.0
1585332504.221267,208,6.0
1585332504.781695,209,6.0
1585332505.3526862,210,6.0
1585332505.915778,211,6.0
1585332506.4825246,212,8.0
1585332507.0471885,213,6.0
1585332507.6075306,214,7.0
1585332508.1581497,215,6.0
1585332508.731759,216,7.0
1585332509.282603,217,12.0
1585332509.8407912,218,9.0
1585332510.4061358,219,6.0
1585332510.961289,220,6.0
1585332511.5206375,221,6.0
1585332512.0895503,222,6.0
1585332512.6463797,223,6.0
1585332513.200988,224,8.0
1585332513.769349,225,6.0
1585332514.3212936,226,6.0
1585332514.8798065,227,8.0
1585332515.4460416,228,6.0
1585332516.003623,229,6.0
1585332516.5579379,230,6.0
1585332517.1322827,231,6.0
1585332517.7031345,232,6.0
1585332518.2592509,233,6.0
1585332518.8298845,234,6.0
1585332519.3843408,235,6.0
1585332519.935828,236,6.0
1585332520.5066226,237,6.0
1585332521.0603075,238,6.0
1585332521.6187308,239,6.0
1585332522.190462,240,6.0
1585332522.746349,241,6.0
1585332523.300047,242,7.0
1585332523.8634753,243,6.0
1585332524.4221773,244,7.0
1585332524.97896,245,6.0
1585332525.555974,246,8.0
1585332526.1086044,247,6.0
1585332526.6799235,248,8.0
1585332527.2479935,249,6.0
1585332527.8118255,250,6.0
1585332528.3615572,251,7.0
1585332528.925875,252,6.0
1585332529.4822457,253,7.0
1585332530.035745,254,7.0
1585332530.6034753,255,6.0
1585332531.1549373,256,7.0
1585332531.7096844,257,6.0
1585332532.2659853,258,6.0
1585332532.820555,259,6.0
1585332533.381249,260,6.0
1585332533.9501235,261,6.0
1585332534.5094817,262,6.0
1585332535.0747292,263,6.0
1585332535.6471286,264,6.0
1585332536.2071853,265,6.0
1585332536.7632978,266,7.0
1585332537.3330238,267,6.0
1585332537.8990421,268,7.0
1585332538.4585102,269,6.0
1585332539.0276985,270,6.0
1585332539.581915,271,6.0
1585332540.137953,272,6.0
1585332540.7091255,273,6.0
1585332541.2690766,274,6.0
