Wall time,Step,Value
1585333100.9296465,24,-0.08113124966621399
1585333101.4977293,25,-0.07981443405151367
1585333102.0701506,26,-0.0773998573422432
1585333102.65808,27,-0.07427442073822021
1585333103.2357702,28,-0.07076172530651093
1585333103.809642,29,-0.06601674854755402
1585333104.3891087,30,-0.06264983117580414
1585333104.9577446,31,-0.058017581701278687
1585333105.5221534,32,-0.052214134484529495
1585333106.0987866,33,-0.04808555543422699
1585333106.6642523,34,-0.044788531959056854
1585333107.2342792,35,-0.0420367605984211
1585333107.813825,36,-0.039330825209617615
1585333108.3828545,37,-0.037038300186395645
1585333108.9485633,38,-0.035088829696178436
1585333109.540814,39,-0.03340533748269081
1585333110.1030066,40,-0.031898126006126404
1585333110.6745334,41,-0.030605876818299294
1585333111.2477462,42,-0.02949030138552189
1585333111.8157635,43,-0.02847876213490963
1585333112.3796296,44,-0.027534157037734985
1585333112.9534256,45,-0.026629839092493057
1585333113.5203285,46,-0.025757579132914543
1585333114.0838487,47,-0.024913180619478226
1585333114.6564798,48,-0.024083491414785385
1585333115.2150962,49,-0.023245546966791153
1585333115.7700856,50,-0.022316977381706238
1585333116.3436277,51,-0.02105892449617386
1585333116.9214923,52,-0.019912512972950935
1585333117.480339,53,-0.018935861065983772
1585333118.0438325,54,-0.018067089840769768
1585333118.6104722,55,-0.017285527661442757
1585333119.1787012,56,-0.01657857745885849
1585333119.7499576,57,-0.01593165658414364
1585333120.3116646,58,-0.015338564291596413
1585333120.8770542,59,-0.014790894463658333
1585333121.4611423,60,-0.014283808879554272
1585333122.0192883,61,-0.013812647201120853
1585333122.5851333,62,-0.013371632434427738
1585333123.1786692,63,-0.012956669554114342
1585333123.746974,64,-0.012574633583426476
1585333124.3273149,65,-0.012217015959322453
1585333124.9072218,66,-0.01187974214553833
1585333125.4687324,67,-0.011561261489987373
1585333126.0403354,68,-0.01125748734921217
1585333126.6203103,69,-0.0109903858974576
1585333127.1998003,70,-0.010736358352005482
1585333127.7586122,71,-0.010495276190340519
1585333128.3336928,72,-0.010265030898153782
1585333128.8827438,73,-0.010042794048786163
1585333129.4433136,74,-0.009827881120145321
1585333130.0019898,75,-0.00961924809962511
1585333130.5697632,76,-0.0094163091853261
1585333131.129481,77,-0.009218611754477024
1585333131.6987185,78,-0.009027333930134773
1585333132.2512648,79,-0.008841059170663357
1585333132.7964613,80,-0.008659526705741882
1585333133.3541517,81,-0.00848288182169199
1585333133.9141753,82,-0.008310642093420029
1585333134.460692,83,-0.008142582140862942
1585333135.0207944,84,-0.007978552021086216
1585333135.5830379,85,-0.007818428799510002
1585333136.142769,86,-0.007662106771022081
1585333136.6937602,87,-0.007509501650929451
1585333137.2607653,88,-0.007360550109297037
1585333137.8023157,89,-0.007215180899947882
1585333138.3535001,90,-0.0070733241736888885
1585333138.8922873,91,-0.006934868637472391
1585333139.4373622,92,-0.006798337679356337
1585333139.987538,93,-0.006665998604148626
1585333140.5287218,94,-0.00653688283637166
1585333141.0690863,95,-0.006411130540072918
1585333141.630777,96,-0.006288464181125164
1585333142.175459,97,-0.006168489344418049
1585333142.7196217,98,-0.006051606964319944
1585333143.2746692,99,-0.005936814937740564
1585333143.817916,100,-0.00582499336451292
1585333144.3669715,101,-0.0057159848511219025
1585333144.9215224,102,-0.005609662272036076
1585333145.4689877,103,-0.005505925510078669
1585333146.0096877,104,-0.005404704250395298
1585333146.5636802,105,-0.005305929109454155
1585333147.1011174,106,-0.0052095321007072926
1585333147.6440425,107,-0.005115449894219637
1585333148.1968656,108,-0.005023621488362551
1585333148.7402735,109,-0.004933986347168684
1585333149.2812996,110,-0.004846484865993261
1585333149.8402147,111,-0.004761060234159231
1585333150.381234,112,-0.004677655640989542
1585333150.924334,113,-0.004596217535436153
1585333151.476372,114,-0.00451669143512845
1585333152.0240846,115,-0.004439026582986116
1585333152.5647736,116,-0.004363172221928835
1585333153.1146092,117,-0.004289078991860151
1585333153.6541874,118,-0.00421669939532876
1585333154.1959767,119,-0.004145987331867218
1585333154.7453315,120,-0.0040768967010080814
1585333155.2838426,121,-0.004009384196251631
1585333155.8200932,122,-0.003943407442420721
1585333156.378419,123,-0.0038789240643382072
1585333156.9220085,124,-0.003815894480794668
1585333157.4736187,125,-0.00375427957624197
1585333158.0212421,126,-0.0036940418649464846
1585333158.5638041,127,-0.0036351443268358707
1585333159.1072512,128,-0.0035775499418377876
1585333159.6559472,129,-0.003521223086863756
1585333160.1981392,130,-0.0034661295358091593
1585333160.7395039,131,-0.0034122359938919544
1585333161.2892425,132,-0.0033595107961446047
1585333161.8298903,133,-0.003307922277599573
1585333162.371825,134,-0.0032574404031038284
1585333162.9264953,135,-0.003208035370334983
1585333163.4725595,136,-0.0031596787739545107
1585333164.0202005,137,-0.0031123426742851734
1585333164.5766127,138,-0.003066000761464238
1585333165.1197436,139,-0.0030206269584596157
1585333165.6617208,140,-0.002976196352392435
1585333166.2163825,141,-0.002932684263214469
1585333166.7655828,142,-0.0028900671750307083
1585333167.3062549,143,-0.0028483218047767878
1585333167.8608284,144,-0.0028074258007109165
1585333168.4069018,145,-0.0027673577424138784
1585333168.9497347,146,-0.002728096442297101
1585333169.5036578,147,-0.0026896214112639427
1585333170.04799,148,-0.0026519130915403366
1585333170.5917006,149,-0.0026149514596909285
1585333171.1527667,150,-0.002578718587756157
1585333171.697501,151,-0.002543195616453886
1585333172.2439444,152,-0.0025083650834858418
1585333172.8014605,153,-0.0024742099922150373
1585333173.3421614,154,-0.002440713346004486
1585333173.8871965,155,-0.0024078593123704195
1585333174.451508,156,-0.002375631593167782
1585333174.9958856,157,-0.002344015520066023
1585333175.5462236,158,-0.002312995959073305
1585333176.103444,159,-0.0022825587075203657
1585333176.6488025,160,-0.0022526897955685854
