Wall time,Step,Value
1585333423.485365,0,100.0
1585333424.2089531,1,98.0
1585333424.929174,2,96.0
1585333425.6933963,3,94.0
1585333426.3916135,4,92.0
1585333427.0890348,5,92.0
1585333427.7851956,6,92.0
1585333428.4495413,7,93.0
1585333429.1127713,8,83.0
1585333429.7831602,9,80.0
1585333430.425726,10,80.0
1585333431.0714633,11,77.0
1585333431.7220492,12,73.0
1585333432.3782947,13,74.0
1585333433.0069098,14,74.0
1585333433.652763,15,74.0
1585333434.2722263,16,71.0
1585333434.9043043,17,68.0
1585333435.5483744,18,68.0
1585333436.1626463,19,60.0
1585333436.7878501,20,68.0
1585333437.423781,21,67.0
1585333438.051991,22,54.0
1585333438.6746128,23,54.0
1585333439.3155398,24,61.0
1585333439.9435089,25,59.0
1585333440.5833433,26,60.0
1585333441.215568,27,52.0
1585333441.8314986,28,44.0
1585333442.437447,29,30.0
1585333443.0678039,30,29.0
1585333443.689838,31,32.0
1585333444.3003097,32,36.0
1585333444.9250636,33,37.0
1585333445.5425007,34,31.0
1585333446.1561584,35,35.0
1585333446.7764158,36,41.0
1585333447.3793454,37,31.0
1585333447.9852664,38,36.0
1585333448.568634,39,20.0
1585333449.1685376,40,14.0
1585333449.7606914,41,19.0
1585333450.3702826,42,17.0
1585333450.9659913,43,11.0
1585333451.5539153,44,11.0
1585333452.1468832,45,22.0
1585333452.740713,46,18.0
1585333453.3238957,47,14.0
1585333453.9255137,48,16.0
1585333454.5098891,49,15.0
1585333455.0950844,50,11.0
1585333455.6942062,51,13.0
1585333456.2836702,52,7.0
1585333456.8654866,53,11.0
1585333457.4686537,54,11.0
1585333458.0550587,55,11.0
1585333458.6377294,56,10.0
1585333459.227388,57,9.0
1585333459.804517,58,10.0
1585333460.371651,59,12.0
1585333460.9569738,60,10.0
1585333461.5277162,61,6.0
1585333462.101044,62,7.0
1585333462.6793737,63,8.0
1585333463.2570834,64,9.0
1585333463.8321807,65,14.0
1585333464.4116073,66,6.0
1585333464.9858508,67,7.0
1585333465.5610194,68,4.0
1585333466.1331897,69,6.0
1585333466.7012377,70,4.0
1585333467.259171,71,5.0
1585333467.833374,72,7.0
1585333468.3960476,73,5.0
1585333468.965825,74,3.0
1585333469.5406482,75,7.0
1585333470.1015377,76,8.0
1585333470.6689215,77,4.0
1585333471.2488651,78,5.0
1585333471.8242643,79,3.0
1585333472.388143,80,6.0
1585333472.962059,81,4.0
1585333473.5252793,82,3.0
1585333474.084861,83,10.0
1585333474.6637323,84,5.0
1585333475.2230084,85,4.0
1585333475.7805064,86,3.0
1585333476.3519802,87,4.0
1585333476.9137564,88,5.0
1585333477.473222,89,3.0
1585333478.0470576,90,3.0
1585333478.6083796,91,4.0
1585333479.1635356,92,6.0
1585333479.7371874,93,8.0
1585333480.301536,94,4.0
1585333480.8578057,95,5.0
1585333481.4295058,96,12.0
1585333481.9955952,97,3.0
1585333482.5565434,98,4.0
1585333483.123328,99,12.0
1585333483.6862686,100,4.0
1585333484.2524753,101,9.0
1585333484.8244004,102,6.0
1585333485.3845687,103,4.0
1585333485.9492161,104,4.0
1585333486.5205233,105,4.0
1585333487.0816913,106,3.0
1585333487.6402235,107,4.0
1585333488.2099116,108,3.0
1585333488.7653902,109,3.0
1585333489.3229907,110,4.0
1585333489.887953,111,3.0
1585333490.436416,112,3.0
1585333490.991674,113,3.0
1585333491.5457797,114,3.0
1585333492.0939233,115,4.0
1585333492.6420197,116,3.0
1585333493.2028906,117,3.0
1585333493.7537684,118,4.0
1585333494.301758,119,4.0
1585333494.8595202,120,5.0
1585333495.4031982,121,5.0
1585333495.9462428,122,6.0
1585333496.501326,123,6.0
1585333497.0520556,124,7.0
1585333497.5958605,125,7.0
1585333498.155866,126,7.0
1585333498.707457,127,7.0
1585333499.2554944,128,8.0
1585333499.8107123,129,9.0
1585333500.3538501,130,10.0
1585333500.899877,131,10.0
1585333501.4551451,132,8.0
1585333502.0021722,133,9.0
1585333502.5497704,134,10.0
1585333503.1035016,135,9.0
1585333503.6528661,136,9.0
1585333504.206919,137,9.0
1585333504.7803338,138,8.0
1585333505.3332798,139,8.0
1585333505.8915215,140,8.0
1585333506.4442558,141,8.0
1585333506.9843261,142,7.0
1585333507.5275378,143,7.0
1585333508.0850203,144,6.0
1585333508.6395006,145,9.0
1585333509.1884358,146,9.0
1585333509.7442503,147,8.0
1585333510.288071,148,8.0
1585333510.8343499,149,8.0
1585333511.391307,150,10.0
1585333511.9420998,151,10.0
1585333512.4899535,152,10.0
1585333513.055058,153,10.0
1585333513.5993063,154,10.0
1585333514.1487355,155,10.0
1585333514.7071838,156,9.0
1585333515.2523441,157,7.0
1585333515.802465,158,6.0
1585333516.3597813,159,6.0
1585333516.907195,160,6.0
1585333517.4518983,161,5.0
1585333518.0037346,162,6.0
1585333518.5492477,163,7.0
1585333519.096097,164,8.0
1585333519.651203,165,6.0
1585333520.19456,166,6.0
1585333520.7385266,167,6.0
1585333521.2954822,168,6.0
1585333521.8398607,169,6.0
1585333522.390923,170,6.0
1585333522.9465778,171,6.0
1585333523.4911098,172,6.0
1585333524.0314207,173,6.0
1585333524.584371,174,6.0
1585333525.125565,175,6.0
1585333525.6681867,176,6.0
1585333526.2249446,177,6.0
1585333526.7712004,178,6.0
1585333527.3314853,179,6.0
1585333527.8867335,180,6.0
1585333528.432808,181,6.0
1585333528.993051,182,6.0
1585333529.5499911,183,6.0
1585333530.0986001,184,6.0
1585333530.6415904,185,6.0
1585333531.2073698,186,6.0
1585333531.763708,187,6.0
1585333532.3094313,188,6.0
