Wall time,Step,Value
1585173350.2125924,0,100.0
1585173351.0084102,1,100.0
1585173351.8011677,2,92.0
1585173352.5656576,3,87.0
1585173353.2891893,4,86.0
1585173353.9844964,5,82.0
1585173354.6780853,6,77.0
1585173355.3533826,7,78.0
1585173356.029567,8,74.0
1585173356.7070239,9,67.0
1585173357.3638139,10,62.0
1585173358.0226588,11,59.0
1585173358.6881392,12,45.0
1585173359.3329282,13,44.0
1585173359.9766119,14,38.0
1585173360.6381087,15,45.0
1585173361.2974021,16,42.0
1585173361.9397726,17,44.0
1585173362.6130347,18,41.0
1585173363.268899,19,38.0
1585173363.8998897,20,39.0
1585173364.5484245,21,38.0
1585173365.2226973,22,34.0
1585173365.8830664,23,37.0
1585173366.5561323,24,35.0
1585173367.2377396,25,36.0
1585173367.9201164,26,34.0
1585173368.620711,27,32.0
1585173369.255947,28,26.0
1585173369.8919206,29,25.0
1585173370.5737689,30,25.0
1585173371.213982,31,27.0
1585173371.8778884,32,29.0
1585173372.5934472,33,21.0
1585173373.2598512,34,23.0
1585173373.9080534,35,28.0
1585173374.5866187,36,21.0
1585173375.2618527,37,21.0
1585173375.9862797,38,21.0
1585173376.7292688,39,18.0
1585173377.4883237,40,19.0
1585173378.2663882,41,22.0
1585173378.9913979,42,22.0
1585173379.6850512,43,19.0
1585173380.3722668,44,19.0
1585173381.079784,45,15.0
1585173381.8290606,46,30.0
1585173382.533125,47,19.0
1585173383.2491605,48,15.0
1585173383.9314742,49,26.0
1585173384.6084392,50,9.0
1585173385.301346,51,11.0
1585173385.9787595,52,14.0
1585173386.6615229,53,12.0
1585173387.3482745,54,9.0
1585173388.0250566,55,11.0
1585173388.6975691,56,8.0
1585173389.3768473,57,13.0
1585173390.0514524,58,10.0
1585173390.7272174,59,9.0
1585173391.4159322,60,8.0
1585173392.081194,61,9.0
1585173392.7485497,62,9.0
1585173393.4345236,63,8.0
1585173394.1079688,64,6.0
1585173394.775019,65,9.0
1585173395.458024,66,7.0
1585173396.118437,67,8.0
1585173396.7802813,68,7.0
1585173397.451229,69,14.0
1585173398.118036,70,6.0
1585173398.7822373,71,8.0
1585173399.4536211,72,12.0
1585173400.092643,73,11.0
1585173400.7279978,74,8.0
1585173401.369465,75,6.0
1585173401.9898417,76,6.0
1585173402.618256,77,6.0
1585173403.2819788,78,6.0
1585173403.9232202,79,6.0
1585173404.5600863,80,10.0
1585173405.2065284,81,5.0
1585173405.831646,82,9.0
1585173406.4622085,83,11.0
1585173407.1063185,84,7.0
1585173407.7369394,85,6.0
1585173408.3657897,86,7.0
1585173409.0094154,87,5.0
1585173409.6381717,88,5.0
1585173410.2709944,89,6.0
1585173410.9095922,90,7.0
1585173411.5340831,91,5.0
1585173412.1634097,92,6.0
1585173412.807623,93,5.0
1585173413.4441733,94,5.0
1585173414.0708551,95,6.0
1585173414.7071567,96,5.0
1585173415.3381991,97,5.0
1585173415.9730978,98,6.0
1585173416.6096916,99,6.0
1585173417.2391255,100,6.0
1585173417.8722777,101,6.0
1585173418.5168295,102,5.0
1585173419.1507807,103,5.0
1585173419.7756305,104,10.0
1585173420.4201303,105,7.0
1585173421.0570989,106,9.0
1585173421.688106,107,6.0
1585173422.337533,108,6.0
1585173422.9643168,109,5.0
1585173423.5935264,110,6.0
1585173424.24626,111,7.0
1585173424.8766057,112,6.0
1585173425.510816,113,6.0
1585173426.1576643,114,6.0
1585173426.7893932,115,6.0
1585173427.428783,116,6.0
1585173428.0695775,117,6.0
1585173428.6957314,118,7.0
1585173429.324608,119,6.0
1585173429.9645865,120,6.0
1585173430.6030703,121,6.0
1585173431.2354226,122,6.0
1585173431.8780904,123,6.0
1585173432.5106647,124,5.0
1585173433.1525097,125,7.0
1585173433.8068092,126,6.0
1585173434.4406579,127,6.0
1585173435.0748255,128,7.0
1585173435.722216,129,6.0
1585173436.359993,130,5.0
1585173436.993854,131,6.0
1585173437.6401098,132,5.0
1585173438.279738,133,5.0
1585173438.9051638,134,4.0
1585173439.5464642,135,6.0
1585173440.1802595,136,6.0
1585173440.8153367,137,4.0
1585173441.4560983,138,5.0
1585173442.0845304,139,5.0
1585173442.7143362,140,5.0
1585173443.3680284,141,5.0
1585173444.0003,142,5.0
1585173444.627676,143,5.0
1585173445.2652102,144,5.0
1585173445.8982196,145,5.0
1585173446.5344586,146,5.0
1585173447.1843357,147,5.0
1585173447.816546,148,5.0
1585173448.4467893,149,6.0
1585173449.0885158,150,5.0
1585173449.7231967,151,4.0
1585173450.3589513,152,5.0
1585173451.0006385,153,5.0
1585173451.6317356,154,5.0
1585173452.2656388,155,5.0
1585173452.9152322,156,5.0
1585173453.5511577,157,5.0
1585173454.1829996,158,5.0
1585173454.8226662,159,5.0
1585173455.4573982,160,5.0
1585173456.0935438,161,5.0
1585173456.7380896,162,5.0
1585173457.3664165,163,5.0
1585173457.994691,164,5.0
1585173458.6429908,165,5.0
1585173459.2738383,166,4.0
1585173459.9086032,167,5.0
1585173460.5472155,168,5.0
1585173461.1765778,169,5.0
1585173461.8083897,170,5.0
1585173462.456004,171,5.0
1585173463.086708,172,5.0
1585173463.7198274,173,5.0
1585173464.361203,174,5.0
1585173465.0004435,175,4.0
1585173465.6353362,176,5.0
1585173466.2760234,177,5.0
1585173466.9050713,178,5.0
1585173467.5394137,179,5.0
1585173468.185433,180,5.0
1585173468.8242028,181,5.0
1585173469.4502141,182,4.0
1585173470.0927591,183,5.0
1585173470.7250204,184,6.0
1585173471.3597374,185,4.0
1585173472.002931,186,6.0
1585173472.6373873,187,4.0
1585173473.274595,188,4.0
1585173473.9189534,189,5.0
1585173474.5504045,190,4.0
1585173475.185292,191,5.0
1585173475.8225505,192,6.0
1585173476.4552712,193,5.0
1585173477.0899389,194,4.0
1585173477.73576,195,5.0
1585173478.3757033,196,4.0
1585173479.0042734,197,5.0
1585173479.6477735,198,4.0
1585173480.276013,199,4.0
1585173480.9146824,200,6.0
1585173481.5580113,201,4.0
1585173482.1856282,202,6.0
1585173482.818576,203,5.0
1585173483.479744,204,6.0
1585173484.121493,205,4.0
1585173484.7588878,206,5.0
1585173485.4035175,207,5.0
1585173486.0405731,208,5.0
1585173486.680119,209,5.0
1585173487.3317096,210,5.0
1585173487.9636812,211,6.0
1585173488.5988839,212,4.0
1585173489.237549,213,5.0
1585173489.8611639,214,4.0
1585173490.497897,215,9.0
1585173491.149934,216,5.0
1585173491.7805405,217,5.0
1585173492.4103308,218,5.0
1585173493.0541587,219,5.0
1585173493.6878855,220,4.0
1585173494.3225834,221,5.0
1585173494.9619398,222,5.0
1585173495.592646,223,5.0
1585173496.2257943,224,5.0
1585173496.873802,225,5.0
1585173497.5156062,226,4.0
1585173498.1466596,227,5.0
1585173498.7905595,228,5.0
1585173499.4229684,229,4.0
1585173500.0648007,230,5.0
1585173500.7126064,231,5.0
1585173501.3457725,232,5.0
1585173501.9781096,233,5.0
1585173502.6249614,234,5.0
1585173503.2818136,235,6.0
1585173503.9247427,236,4.0
1585173504.6089,237,5.0
1585173505.262432,238,6.0
1585173505.9284108,239,4.0
1585173506.5851712,240,4.0
1585173507.236716,241,5.0
1585173507.8768387,242,5.0
1585173508.5402036,243,4.0
1585173509.1772265,244,6.0
1585173509.811376,245,5.0
1585173510.456575,246,5.0
1585173511.088114,247,5.0
1585173511.7217546,248,5.0
1585173512.3689716,249,4.0
1585173513.0083835,250,5.0
1585173513.6554563,251,5.0
1585173514.300827,252,5.0
1585173514.93537,253,4.0
1585173515.5623264,254,4.0
1585173516.1987395,255,4.0
1585173516.8345861,256,6.0
1585173517.4678955,257,4.0
1585173518.110602,258,5.0
1585173518.7383826,259,4.0
1585173519.3682258,260,5.0
1585173520.0117593,261,4.0
1585173520.6469963,262,6.0
1585173521.2741873,263,4.0
1585173521.913291,264,4.0
1585173522.5486956,265,6.0
1585173523.1811454,266,4.0
1585173523.8263998,267,4.0
1585173524.4564211,268,5.0
1585173525.08699,269,6.0
1585173525.7342918,270,4.0
1585173526.3715997,271,5.0
1585173526.9971642,272,5.0
1585173527.6401043,273,4.0
1585173528.2748048,274,6.0
1585173528.9117148,275,6.0
1585173529.556948,276,5.0
1585173530.1896858,277,4.0
1585173530.818641,278,6.0
1585173531.463513,279,4.0
1585173532.0966592,280,5.0
1585173532.7346544,281,5.0
1585173533.3803287,282,5.0
1585173534.010609,283,5.0
1585173534.638907,284,4.0
1585173535.2852347,285,6.0
1585173535.9230862,286,4.0
1585173536.5555532,287,4.0
1585173537.1965652,288,4.0
1585173537.8268473,289,5.0
1585173538.4670272,290,4.0
1585173539.1152568,291,4.0
1585173539.7426155,292,4.0
1585173540.3742616,293,5.0
1585173541.0244668,294,5.0
1585173541.6620498,295,4.0
1585173542.2982843,296,4.0
1585173542.9372013,297,5.0
1585173543.5693479,298,4.0
1585173544.2034419,299,4.0
1585173544.8481548,300,4.0
1585173545.488121,301,6.0
1585173546.1158435,302,4.0
1585173546.7588027,303,4.0
1585173547.3921328,304,4.0
1585173548.024182,305,4.0
1585173548.6716576,306,5.0
1585173549.300333,307,4.0
1585173549.9296482,308,5.0
1585173550.5776198,309,4.0
1585173551.2132678,310,4.0
1585173551.8446448,311,5.0
1585173552.4852176,312,4.0
1585173553.116019,313,4.0
1585173553.7516758,314,5.0
1585173554.3950186,315,4.0
1585173555.0300865,316,4.0
1585173555.658031,317,4.0
1585173556.2998207,318,6.0
1585173556.9349754,319,4.0
1585173557.5705519,320,6.0
1585173558.2078085,321,4.0
1585173558.8362298,322,6.0
1585173559.469861,323,4.0
1585173560.112091,324,5.0
1585173560.74543,325,4.0
1585173561.3729954,326,6.0
1585173562.0119514,327,4.0
1585173562.6503663,328,5.0
1585173563.2889137,329,4.0
1585173563.927709,330,5.0
1585173564.555541,331,4.0
1585173565.185462,332,4.0
1585173565.8305326,333,5.0
1585173566.4657757,334,4.0
1585173567.0920286,335,4.0
1585173567.7319055,336,4.0
1585173568.371454,337,4.0
1585173569.0037968,338,5.0
1585173569.647358,339,4.0
1585173570.2746558,340,4.0
1585173570.9040973,341,4.0
1585173571.549186,342,4.0
1585173572.1822994,343,5.0
1585173572.812646,344,4.0
1585173573.4567466,345,5.0
1585173574.0832074,346,5.0
1585173574.7160468,347,4.0
1585173575.3603055,348,4.0
1585173575.9862735,349,5.0
1585173576.6110165,350,4.0
1585173577.2552257,351,4.0
1585173577.8900409,352,4.0
1585173578.516737,353,5.0
1585173579.1513143,354,4.0
1585173579.7813036,355,5.0
1585173580.416433,356,5.0
1585173581.0633957,357,5.0
1585173581.689892,358,5.0
1585173582.316642,359,4.0
1585173582.9609973,360,4.0
1585173583.5948064,361,5.0
1585173584.2251823,362,8.0
1585173584.86691,363,11.0
1585173585.496201,364,8.0
1585173586.1304655,365,4.0
1585173586.7742586,366,4.0
1585173587.4075522,367,4.0
1585173588.035615,368,4.0
1585173588.6743774,369,4.0
1585173589.3079185,370,4.0
1585173589.9427235,371,4.0
1585173590.58465,372,4.0
1585173591.217533,373,4.0
1585173591.8458025,374,4.0
1585173592.494031,375,4.0
1585173593.130136,376,4.0
1585173593.759768,377,4.0
1585173594.4004147,378,5.0
1585173595.0275936,379,4.0
1585173595.6652792,380,5.0
1585173596.3048136,381,4.0
1585173596.9375663,382,4.0
1585173597.5731335,383,4.0
1585173598.2257895,384,5.0
1585173598.865843,385,5.0
1585173599.5019848,386,5.0
1585173600.1436245,387,4.0
1585173600.778283,388,5.0
1585173601.4138806,389,5.0
1585173602.062538,390,5.0
1585173602.7004347,391,5.0
1585173603.3359654,392,4.0
1585173603.9861658,393,5.0
1585173604.619381,394,4.0
1585173605.2572563,395,5.0
1585173605.9057083,396,5.0
1585173606.538269,397,5.0
1585173607.1694303,398,5.0
1585173607.8093624,399,5.0
1585173608.4494855,400,5.0
1585173609.085623,401,5.0
1585173609.7365851,402,5.0
1585173610.3669758,403,5.0
1585173610.9987168,404,5.0
1585173611.6442804,405,5.0
1585173612.2806318,406,5.0
1585173612.911102,407,6.0
1585173613.5619116,408,4.0
1585173614.1938653,409,5.0
1585173614.8318474,410,6.0
1585173615.476623,411,4.0
1585173616.116422,412,5.0
1585173616.742377,413,5.0
1585173617.3843958,414,4.0
1585173618.01996,415,5.0
1585173618.663625,416,7.0
1585173619.3199697,417,4.0
1585173619.9608858,418,6.0
1585173620.5946465,419,4.0
1585173621.2352583,420,4.0
1585173621.8721247,421,5.0
1585173622.5092318,422,5.0
1585173623.1498773,423,5.0
1585173623.785225,424,4.0
1585173624.4260743,425,5.0
1585173625.069161,426,4.0
1585173625.6977584,427,5.0
1585173626.3266504,428,5.0
1585173626.9658055,429,6.0
1585173627.5998738,430,5.0
1585173628.2429984,431,5.0
1585173628.9048133,432,5.0
1585173629.5418212,433,5.0
1585173630.168792,434,5.0
1585173630.8082275,435,4.0
1585173631.4421945,436,4.0
1585173632.0803506,437,6.0
1585173632.7285762,438,4.0
1585173633.3569052,439,6.0
1585173633.9860084,440,4.0
