Wall time,Step,Value
1585173737.0183551,0,inf
1585173737.8608701,1,inf
1585173738.6879175,2,inf
1585173739.5312436,3,inf
1585173740.3251982,4,inf
1585173741.062364,5,inf
1585173741.8242693,6,inf
1585173742.5879557,7,inf
1585173743.329806,8,inf
1585173744.0704525,9,inf
1585173744.8025522,10,inf
1585173745.53611,11,inf
1585173746.255246,12,inf
1585173746.9304712,13,inf
1585173747.6050494,14,inf
1585173748.3260455,15,inf
1585173749.0001986,16,inf
1585173749.6741278,17,inf
1585173750.3584104,18,inf
1585173751.0320466,19,inf
1585173751.73026,20,-0.14663197100162506
1585173752.4100957,21,-0.1257695108652115
1585173753.0815763,22,-0.12396222352981567
1585173753.7503605,23,-0.12744469940662384
1585173754.430453,24,-0.11794372648000717
1585173755.0984375,25,-0.11654409021139145
1585173755.7578714,26,-0.10706052929162979
1585173756.434865,27,-0.1010064110159874
1585173757.0988348,28,-0.0995158925652504
1585173757.794736,29,-0.09889275580644608
1585173758.5135016,30,-0.09644562005996704
1585173759.1933408,31,-0.09286782145500183
1585173759.8785508,32,-0.09023221582174301
1585173760.5656853,33,-0.08426309376955032
1585173761.2513638,34,-0.07522476464509964
1585173761.956167,35,-0.06267192959785461
1585173762.6503909,36,-0.02845565229654312
1585173763.3439271,37,-0.054678548127412796
1585173764.0102024,38,-0.05231507867574692
1585173764.677305,39,-0.05219164118170738
1585173765.3252032,40,-0.048630405217409134
1585173765.975514,41,-0.04493143409490585
1585173766.6469154,42,-0.04318901523947716
1585173767.3080332,43,-0.04923272132873535
1585173767.9647858,44,-0.04283485934138298
1585173768.6379285,45,-0.04118860885500908
1585173769.2965708,46,-0.042824018746614456
1585173769.9606996,47,-0.03514545038342476
1585173770.638349,48,-0.024864651262760162
1585173771.2951114,49,-0.018767952919006348
1585173771.9392323,50,-0.014482500962913036
1585173772.5866268,51,-0.013931515626609325
1585173773.237134,52,-0.014597143046557903
1585173773.8918817,53,-0.018183071166276932
1585173774.5553396,54,-0.024075040593743324
1585173775.210348,55,-0.05443519726395607
1585173775.865585,56,-0.0218940619379282
1585173776.5345292,57,-0.022912589833140373
1585173777.1925225,58,-0.019271153956651688
1585173777.8616118,59,-0.015054714865982533
1585173778.5390964,60,-0.01333851832896471
1585173779.1983798,61,-0.01182490587234497
